Day,January,February,March,April,May,June,July,August,September,October,November,December
1,85.0,64.0,42.0,57.0,64.0,64.0,58.0,52.0,71.0,50.0,48.0,59.0
2,74.0,88.0,78.0,71.0,48.0,64.0,53.0,55.0,68.0,41.0,41.0,68.0
3,63.0,83.0,83.0,83.0,46.0,56.0,43.0,59.0,63.0,33.0,48.0,81.0
4,64.0,84.0,72.0,64.0,51.0,44.0,60.0,53.0,59.0,41.0,89.0,90.0
5,43.0,104.0,73.0,66.0,42.0,44.0,51.0,67.0,52.0,45.0,150.0,120.0
6,38.0,109.0,67.0,68.0,43.0,72.0,47.0,59.0,51.0,45.0,52.0,100.0
7,44.0,110.0,64.0,63.0,65.0,74.0,55.0,61.0,46.0,51.0,49.0,95.0
8,41.0,74.0,49.0,82.0,51.0,50.0,56.0,62.0,52.0,55.0,93.0,59.0
9,86.0,86.0,76.0,67.0,56.0,52.0,56.0,53.0,59.0,59.0,92.0,36.0
10,94.0,96.0,50.0,66.0,41.0,70.0,54.0,51.0,58.0,55.0,90.0,48.0
11,92.0,95.0,42.0,67.0,49.0,75.0,52.0,62.0,63.0,62.0,60.0,39.0
12,74.0,72.0,43.0,53.0,72.0,62.0,54.0,67.0,63.0,63.0,64.0,39.0
13,122.0,80.0,54.0,55.0,85.0,46.0,69.0,66.0,52.0,67.0,52.0,42.0
14,85.0,65.0,53.0,60.0,94.0,47.0,68.0,65.0,58.0,65.0,58.0,52.0
15,96.0,67.0,56.0,46.0,62.0,50.0,41.0,68.0,55.0,60.0,52.0,70.0
16,85.0,69.0,53.0,51.0,49.0,65.0,48.0,74.0,62.0,71.0,64.0,101.0
17,63.0,86.0,48.0,54.0,59.0,75.0,50.0,65.0,62.0,48.0,37.0,123.0
18,58.0,81.0,61.0,43.0,70.0,86.0,57.0,66.0,61.0,74.0,40.0,126.0
19,85.0,83.0,82.0,51.0,62.0,90.0,50.0,56.0,59.0,78.0,39.0,102.0
20,102.0,88.0,98.0,54.0,53.0,81.0,56.0,52.0,48.0,78.0,47.0,120.0
21,104.0,38.0,70.0,52.0,59.0,81.0,58.0,60.0,53.0,84.0,45.0,162.0
22,58.0,46.0,66.0,49.0,71.0,70.0,64.0,47.0,72.0,51.0,56.0,149.0
23,53.0,72.0,93.0,48.0,103.0,86.0,59.0,56.0,61.0,46.0,48.0,171.0
24,75.0,89.0,108.0,42.0,71.0,69.0,59.0,64.0,66.0,46.0,55.0,102.0
25,63.0,78.0,120.0,46.0,65.0,77.0,69.0,58.0,56.0,63.0,56.0,99.0
26,70.0,67.0,98.0,46.0,56.0,95.0,53.0,63.0,55.0,94.0,49.0,87.0
27,91.0,63.0,73.0,64.0,68.0,56.0,60.0,58.0,51.0,118.0,36.0,88.0
28,145.0,46.0,58.0,64.0,65.0,55.0,65.0,62.0,53.0,118.0,36.0,62.0
29,130.0,,45.0,64.0,67.0,63.0,68.0,47.0,79.0,91.0,40.0,73.0
30,116.0,,54.0,53.0,62.0,54.0,71.0,60.0,69.0,56.0,47.0,65.0
31,78.0,,57.0,,60.0,,70.0,62.0,,50.0,,70.0
 ,,,,,,,,,,,,
Good,4.0,3.0,7.0,7.0,7.0,6.0,6.0,2.0,2.0,10.0,15.0,5.0
Satisfactory,21.0,22.0,22.0,23.0,23.0,24.0,25.0,29.0,28.0,19.0,14.0,16.0
Moderate,6.0,3.0,2.0,,1.0,,,,,2.0,1.0,10.0
Poor,,,,,,,,,,,,
Very poor,,,,,,,,,,,,
Severe,,,,,,,,,,,,
,,,,,,,,,,,,
SP,,,,,,,,,,,,
% of Availability,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,60.0,95.0,68.0,45.0,58.0,69.0,63.0,61.0,62.0,70.0,59.0,132.0
2,49.0,75.0,84.0,42.0,89.0,75.0,53.0,61.0,48.0,73.0,50.0,77.0
3,68.0,63.0,82.0,44.0,84.0,75.0,65.0,56.0,58.0,90.0,59.0,50.0
4,77.0,58.0,92.0,41.0,58.0,83.0,64.0,84.0,58.0,101.0,56.0,64.0
5,78.0,62.0,72.0,34.0,91.0,71.0,52.0,57.0,55.0,129.0,44.0,127.0
6,66.0,59.0,64.0,44.0,56.0,62.0,52.0,49.0,57.0,96.0,58.0,203.0
7,61.0,67.0,60.0,49.0,80.0,62.0,62.0,54.0,73.0,88.0,105.0,238.0
8,42.0,83.0,82.0,42.0,78.0,68.0,65.0,49.0,61.0,114.0,82.0,203.0
9,50.0,68.0,96.0,43.0,94.0,67.0,70.0,64.0,74.0,67.0,74.0,115.0
10,48.0,85.0,86.0,46.0,81.0,60.0,60.0,68.0,59.0,61.0,58.0,40.0
11,45.0,69.0,80.0,42.0,71.0,69.0,50.0,70.0,62.0,53.0,46.0,45.0
12,50.0,95.0,90.0,35.0,61.0,65.0,51.0,62.0,70.0,58.0,44.0,49.0
13,57.0,110.0,89.0,36.0,61.0,64.0,,66.0,72.0,61.0,38.0,46.0
14,39.0,114.0,97.0,39.0,69.0,54.0,53.0,65.0,70.0,56.0,43.0,58.0
15,37.0,98.0,110.0,35.0,69.0,54.0,60.0,63.0,81.0,63.0,96.0,72.0
16,41.0,91.0,103.0,38.0,52.0,56.0,69.0,60.0,83.0,51.0,121.0,97.0
17,49.0,100.0,116.0,50.0,57.0,54.0,47.0,56.0,69.0,53.0,142.0,123.0
18,56.0,91.0,93.0,47.0,57.0,52.0,61.0,57.0,65.0,66.0,170.0,120.0
19,79.0,68.0,63.0,45.0,57.0,63.0,79.0,63.0,62.0,74.0,108.0,88.0
20,92.0,112.0,96.0,40.0,71.0,58.0,76.0,69.0,65.0,73.0,120.0,110.0
21,90.0,105.0,94.0,39.0,79.0,55.0,70.0,71.0,85.0,66.0,84.0,120.0
22,78.0,87.0,102.0,44.0,85.0,59.0,52.0,43.0,69.0,82.0,74.0,124.0
23,69.0,62.0,77.0,38.0,56.0,63.0,65.0,48.0,66.0,109.0,62.0,172.0
24,55.0,58.0,66.0,43.0,73.0,64.0,55.0,49.0,71.0,193.0,75.0,193.0
25,70.0,70.0,60.0,47.0,61.0,62.0,70.0,62.0,65.0,228.0,98.0,73.0
26,44.0,68.0,56.0,52.0,67.0,64.0,54.0,61.0,73.0,147.0,86.0,34.0
27,50.0,71.0,55.0,43.0,67.0,66.0,70.0,50.0,74.0,105.0,108.0,38.0
28,68.0,62.0,47.0,45.0,72.0,76.0,49.0,49.0,83.0,59.0,120.0,59.0
29,105.0,,44.0,61.0,68.0,84.0,51.0,60.0,83.0,70.0,142.0,57.0
30,105.0,,45.0,46.0,58.0,77.0,50.0,70.0,74.0,74.0,153.0,65.0
31,105.0,,45.0,,68.0,,58.0,49.0,,88.0,,67.0
 ,,,,,,,,,,,,
