Date,AQI
2024-01-01,142.0
2024-01-02,101.0
2024-01-03,119.0
2024-01-04,107.0
2024-01-05,92.0
2024-01-06,71.0
2024-01-07,66.0
2024-01-08,67.0
2024-01-09,80.0
2024-01-10,81.0
2024-01-11,94.0
2024-01-12,114.0
2024-01-13,136.0
2024-01-14,231.0
2024-01-15,176.0
2024-01-16,113.0
2024-01-17,78.0
2024-01-18,76.0
2024-01-19,74.0
2024-01-20,81.0
2024-01-21,79.0
2024-01-22,72.0
2024-01-23,99.0
2024-01-24,123.0
2024-01-25,108.0
2024-01-26,108.0
2024-01-27,95.0
2024-01-28,96.0
2024-01-29,122.0
2024-01-30,122.0
2024-01-31,98.0
2024-02-01,55.0
2024-02-02,39.0
2024-02-03,69.0
2024-02-04,72.0
2024-02-05,72.0
2024-02-06,88.0
2024-02-07,109.0
2024-02-08,93.0
2024-02-09,83.0
2024-02-10,85.0
2024-02-11,100.0
2024-02-12,69.0
2024-02-13,68.0
2024-02-14,63.0
2024-02-15,88.0
2024-02-16,84.0
2024-02-17,84.0
2024-02-18,87.0
2024-02-19,86.0
2024-02-20,100.0
2024-02-21,98.0
2024-02-22,89.0
2024-02-23,82.0
2024-02-24,72.0
2024-02-25,69.0
2024-02-26,64.0
2024-02-27,65.0
2024-02-28,72.0
2024-02-29,77.0
2024-03-01,83.0
2024-03-02,101.0
2024-03-03,80.0
2024-03-04,84.0
2024-03-05,76.0
2024-03-06,90.0
2024-03-07,81.0
2024-03-08,83.0
2024-03-09,90.0
2024-03-10,78.0
2024-03-11,77.0
2024-03-12,77.0
2024-03-13,85.0
2024-03-14,88.0
2024-03-15,76.0
2024-03-16,67.0
2024-03-17,54.0
2024-03-18,52.0
2024-03-19,62.0
2024-03-20,83.0
2024-03-21,67.0
2024-03-22,70.0
2024-03-23,73.0
2024-03-24,71.0
2024-03-25,63.0
2024-03-26,64.0
2024-03-27,69.0
2024-03-28,64.0
2024-03-29,58.0
2024-03-30,58.0
2024-03-31,58.0
2024-04-01,46.0
2024-04-02,56.0
2024-04-03,64.0
2024-04-04,66.0
2024-04-05,62.0
2024-04-06,59.0
2024-04-07,65.0
2024-04-08,62.0
2024-04-09,62.0
2024-04-10,75.0
2024-04-11,63.0
2024-04-12,61.0
2024-04-13,62.0
2024-04-14,79.0
2024-04-15,67.0
2024-04-16,69.0
2024-04-17,77.0
2024-04-18,54.0
2024-04-19,57.0
2024-04-20,58.0
2024-04-21,64.0
2024-04-22,56.0
2024-04-23,58.0
2024-04-24,58.0
2024-04-25,56.0
2024-04-26,60.0
2024-04-27,64.0
2024-04-28,58.0
2024-04-29,43.0
2024-04-30,55.0
2024-05-01,59.0
2024-05-02,54.0
2024-05-03,62.0
2024-05-04,60.0
2024-05-05,57.0
2024-05-06,59.0
2024-05-07,61.0
2024-05-08,62.0
2024-05-09,46.0
2024-05-10,51.0
2024-05-11,56.0
2024-05-12,50.0
2024-05-13,67.0
2024-05-14,56.0
2024-05-15,62.0
2024-05-16,55.0
2024-05-17,59.0
2024-05-18,68.0
2024-05-19,63.0
2024-05-20,62.0
2024-05-21,66.0
2024-05-22,51.0
2024-05-23,70.0
2024-05-24,70.0
2024-05-25,77.0
2024-05-26,85.0
2024-05-27,86.0
2024-05-28,97.0
2024-05-29,102.0
2024-05-30,84.0
2024-05-31,85.0
2024-06-01,74.0
2024-06-02,65.0
2024-06-03,65.0
2024-06-04,65.0
2024-06-05,59.0
2024-06-06,59.0
2024-06-07,62.0
2024-06-08,99.0
2024-06-09,65.0
2024-06-10,97.0
2024-06-11,74.0
2024-06-12,64.0
2024-06-13,72.0
2024-06-14,65.0
2024-06-15,76.0
2024-06-16,77.0
2024-06-17,62.0
2024-06-18,64.0
2024-06-19,60.0
2024-06-20,54.0
2024-06-21,58.0
2024-06-22,60.0
2024-06-23,57.0
2024-06-24,59.0
2024-06-25,65.0
2024-06-26,61.0
2024-06-27,60.0
2024-06-28,59.0
2024-06-29,68.0
2024-06-30,67.0
2024-07-01,57.0
2024-07-02,70.0
2024-07-03,72.0
2024-07-04,57.0
2024-07-05,63.0
2024-07-06,71.0
2024-07-07,59.0
2024-07-08,48.0
2024-07-09,57.0
2024-07-10,68.0
2024-07-11,69.0
2024-07-12,73.0
2024-07-13,54.0
2024-07-14,63.0
2024-07-15,54.0
2024-07-16,48.0
2024-07-17,67.0
2024-07-18,62.0
2024-07-19,68.0
2024-07-20,69.0
2024-07-21,95.0
2024-07-22,94.0
2024-07-23,93.0
2024-07-24,69.0
2024-07-25,68.0
2024-07-26,73.0
2024-07-27,77.0
2024-07-28,78.0
2024-07-29,80.0
2024-07-30,77.0
2024-07-31,75.0
2024-08-01,78.0
2024-08-02,89.0
2024-08-03,72.0
2024-08-04,60.0
2024-08-05,65.0
2024-08-06,72.0
2024-08-07,68.0
2024-08-08,64.0
2024-08-09,55.0
2024-08-10,72.0
2024-08-11,72.0
2024-08-12,72.0
2024-08-13,75.0
2024-08-14,76.0
2024-08-15,81.0
2024-08-16,62.0
2024-08-17,66.0
2024-08-18,82.0
2024-08-19,65.0
2024-08-20,60.0
2024-08-21,82.0
2024-08-22,51.0
2024-08-23,53.0
2024-08-24,49.0
2024-08-25,59.0
2024-08-26,47.0
2024-08-27,51.0
2024-08-28,49.0
2024-08-29,47.0
2024-08-30,45.0
2024-08-31,41.0
2024-09-01,44.0
2024-09-02,42.0
2024-09-03,50.0
2024-09-04,44.0
2024-09-05,62.0
2024-09-06,55.0
2024-09-07,67.0
2024-09-08,48.0
2024-09-09,56.0
2024-09-10,55.0
2024-09-11,62.0
2024-09-12,58.0
2024-09-13,53.0
2024-09-14,51.0
2024-09-15,50.0
2024-09-16,47.0
2024-09-17,51.0
2024-09-18,49.0
2024-09-19,72.0
2024-09-20,92.0
2024-09-21,63.0
2024-09-22,56.0
2024-09-23,51.0
2024-09-24,59.0
2024-09-25,58.0
2024-09-26,56.0
2024-09-27,67.0
2024-09-28,72.0
2024-09-29,51.0
2024-09-30,44.0
2024-10-01,46.0
2024-10-02,55.0
2024-10-03,52.0
2024-10-04,69.0
2024-10-05,58.0
2024-10-06,70.0
2024-10-07,51.0
2024-10-08,44.0
2024-10-09,35.0
2024-10-10,37.0
2024-10-11,51.0
2024-10-12,30.0
2024-10-13,30.0
2024-10-14,36.0
2024-10-15,45.0
2024-10-16,50.0
2024-10-17,43.0
2024-10-18,66.0
2024-10-19,64.0
2024-10-20,51.0
2024-10-21,44.0
2024-10-22,55.0
2024-10-23,69.0
2024-10-24,102.0
2024-10-25,102.0
2024-10-26,92.0
2024-10-27,119.0
2024-10-28,131.0
2024-10-29,90.0
2024-10-30,117.0
2024-10-31,213.0
2024-11-01,142.0
2024-11-02,71.0
