feature,importance
lag1,0.6271793809047208
day_of_year,0.03992984927578265
lag4,0.031623863363528314
lag7,0.029695380136200968
std14,0.02741141772753569
lag2,0.026843369907718573
ma30,0.025513880073565993
lag3,0.024688251899866502
std7,0.022046860755402818
ma14,0.021581554530612262
lag5,0.020827319496420638
ema7,0.020648468755006193
ma7,0.017999072633151685
min7,0.016026019671462284
day_of_week,0.015105938747290394
range7,0.014665357806402763
max7,0.011202725287434302
month,0.005506819986589532
quarter,0.0015044690413077732
